meas_Fx,meas_Fy,meas_Fz,meas_Tx,meas_Ty,meas_Tz,physics_Fx,physics_Fy,physics_Fz,physics_Tx,physics_Ty,physics_Tz,nn_Fx,nn_Fy,nn_Fz,nn_Tx,nn_Ty,nn_Tz,raw_res_Fx,raw_res_Fy,raw_res_Fz,raw_res_Tx,raw_res_Ty,raw_res_Tz,physics_res_Fx,physics_res_Fy,physics_res_Fz,physics_res_Tx,physics_res_Ty,physics_res_Tz,nn_res_Fx,nn_res_Fy,nn_res_Fz,nn_res_Tx,nn_res_Ty,nn_res_Tz
3.967783470670838142e-07,-3.870663363159110304e-07,-6.116931140422821045e-02,-2.109310667889338978e-15,3.552783982535123036e-15,3.052751740529821307e-16,-7.428333908319473267e-02,4.404216259717941284e-02,-1.686032116413116455e-01,-1.077915448695421219e-02,-5.225064698606729507e-03,1.880259253084659576e-02,-2.961686611175537109e+00,-1.990638494491577148e+00,2.272529125213623047e+00,-6.054121255874633789e-02,-3.734853863716125488e-01,7.569278776645660400e-02,3.967783470670838142e-07,-3.870663363159110304e-07,-6.116931140422821045e-02,-2.109310667889338978e-15,3.552783982535123036e-15,3.052751740529821307e-16,7.428373396396636963e-02,-4.404255002737045288e-02,1.074339002370834351e-01,1.077915448695421219e-02,5.225064698606729507e-03,-1.880259253084659576e-02,2.961687088012695312e+00,1.990638136863708496e+00,-2.333698511123657227e+00,6.054121255874633789e-02,3.734853863716125488e-01,-7.569278776645660400e-02
6.525706908178108279e-07,1.074033975601196289e-02,-4.616961255669593811e-02,-2.109440899204979326e-15,3.552710714185185539e-15,3.052271843425642542e-16,-7.454729825258255005e-02,4.430687054991722107e-02,-1.686031967401504517e-01,-1.080509647727012634e-02,-5.250933580100536346e-03,1.879929006099700928e-02,-2.961749076843261719e+00,-1.990572690963745117e+00,2.272596359252929688e+00,-6.055149435997009277e-02,-3.735020160675048828e-01,7.568555325269699097e-02,6.525706908178108279e-07,1.074033975601196289e-02,-4.616961255669593811e-02,-2.109440899204979326e-15,3.552710714185185539e-15,3.052271843425642542e-16,7.454795390367507935e-02,-3.356653079390525818e-02,1.224335879087448120e-01,1.080509647727012634e-02,5.250933580100536346e-03,-1.879929006099700928e-02,2.961749792098999023e+00,2.001312971115112305e+00,-2.318765878677368164e+00,6.055149435997009277e-02,3.735020160675048828e-01,-7.568555325269699097e-02
2.208519540727138519e-02,2.393112704157829285e-02,-2.715996000915765762e-03,-2.109395794700538035e-15,3.552733584074761405e-15,3.052750946436433256e-16,-7.455343753099441528e-02,4.431300982832908630e-02,-1.686029434204101562e-01,-1.080569997429847717e-02,-5.251533817499876022e-03,1.879921369254589081e-02,-2.961775779724121094e+00,-1.990566968917846680e+00,2.272687435150146484e+00,-6.055182218551635742e-02,-3.735037147998809814e-01,7.568366825580596924e-02,2.208519540727138519e-02,2.393112704157829285e-02,-2.715996000915765762e-03,-2.109395794700538035e-15,3.552733584074761405e-15,3.052750946436433256e-16,9.663863480091094971e-02,-2.038188278675079346e-02,1.658869534730911255e-01,1.080569997429847717e-02,5.251533817499876022e-03,-1.879921369254589081e-02,2.983860969543457031e+00,2.014497995376586914e+00,-2.275403499603271484e+00,6.055182218551635742e-02,3.735037147998809814e-01,-7.568366825580596924e-02
-4.174559144303202629e-04,7.169126998633146286e-03,-4.011308774352073669e-02,-2.109435817007295801e-15,3.552705631987502014e-15,3.053230578842816003e-16,-7.442145794630050659e-02,4.418065771460533142e-02,-1.686029434204101562e-01,-1.079272944480180740e-02,-5.238599143922328949e-03,1.880086399614810944e-02,-2.961738824844360352e+00,-1.990596771240234375e+00,2.272632122039794922e+00,-6.054642796516418457e-02,-3.734936714172363281e-01,7.568888366222381592e-02,-4.174559144303202629e-04,7.169126998633146286e-03,-4.011308774352073669e-02,-2.109435817007295801e-15,3.552705631987502014e-15,3.053230578842816003e-16,7.400400191545486450e-02,-3.701153025031089783e-02,1.284898519515991211e-01,1.079272944480180740e-02,5.238599143922328949e-03,-1.880086399614810944e-02,2.961321353912353516e+00,1.997765898704528809e+00,-2.312745094299316406e+00,6.054642796516418457e-02,3.734936714172363281e-01,-7.568888366222381592e-02
-2.339300554012879729e-04,2.367535792291164398e-02,-4.843493923544883728e-02,-2.109433275908454038e-15,3.552702879130423437e-15,3.053712064133770870e-16,-7.468537986278533936e-02,4.444539919495582581e-02,-1.686041504144668579e-01,-1.081866584718227386e-02,-5.264470819383859634e-03,1.879756152629852295e-02,-2.961836338043212891e+00,-1.990526437759399414e+00,2.272790431976318359e+00,-6.055542826652526855e-02,-3.735081255435943604e-01,7.568036019802093506e-02,-2.339300554012879729e-04,2.367535792291164398e-02,-4.843493923544883728e-02,-2.109433275908454038e-15,3.552702879130423437e-15,3.053712064133770870e-16,7.445144653320312500e-02,-2.077004127204418182e-02,1.201692074537277222e-01,1.081866584718227386e-02,5.264470819383859634e-03,-1.879756152629852295e-02,2.961602449417114258e+00,2.014201879501342773e+00,-2.321225404739379883e+00,6.055542826652526855e-02,3.735081255435943604e-01,-7.568036019802093506e-02
1.315784920006990433e-02,-2.377124474151059985e-04,-1.642205193638801575e-02,-2.109393253601696272e-15,3.552730619459446015e-15,3.053231372936204054e-16,-7.428338378667831421e-02,4.404212534427642822e-02,-1.686019897460937500e-01,-1.077916007488965988e-02,-5.225062370300292969e-03,1.880259253084659576e-02,-2.961691141128540039e+00,-1.990629196166992188e+00,2.272546291351318359e+00,-6.054112315177917480e-02,-3.734866380691528320e-01,7.569222152233123779e-02,1.315784920006990433e-02,-2.377124474151059985e-04,-1.642205193638801575e-02,-2.109393253601696272e-15,3.552730619459446015e-15,3.053231372936204054e-16,8.744123578071594238e-02,-4.427983611822128296e-02,1.521799415349960327e-01,1.077916007488965988e-02,5.225062370300292969e-03,-1.880259253084659576e-02,2.974848985671997070e+00,1.990391492843627930e+00,-2.288968324661254883e+00,6.054112315177917480e-02,3.734866380691528320e-01,-7.569222152233123779e-02
-1.005352707579731941e-03,-2.840099332388490438e-04,-2.029886469244956970e-02,-2.109355772393780269e-15,3.552761112645547170e-15,3.052271843425642542e-16,-7.455339282751083374e-02,4.431304708123207092e-02,-1.686041504144668579e-01,-1.080569531768560410e-02,-5.251536145806312561e-03,1.879921369254589081e-02,-2.961789608001708984e+00,-1.990547657012939453e+00,2.272679805755615234e+00,-6.055420637130737305e-02,-3.735054135322570801e-01,7.568408548831939697e-02,-1.005352707579731941e-03,-2.840099332388490438e-04,-2.029886469244956970e-02,-2.109355772393780269e-15,3.552761112645547170e-15,3.052271843425642542e-16,7.354804128408432007e-02,-4.459705576300621033e-02,1.483052819967269897e-01,1.080569531768560410e-02,5.251536145806312561e-03,-1.879921369254589081e-02,2.960784196853637695e+00,1.990263700485229492e+00,-2.292978763580322266e+00,6.055420637130737305e-02,3.735054135322570801e-01,-7.568408548831939697e-02
-1.666104071773588657e-05,3.471137097221799195e-05,-4.374372586607933044e-02,-2.109355772393780269e-15,3.552761112645547170e-15,3.052273431612418644e-16,-7.442145794630050659e-02,4.418065771460533142e-02,-1.686029434204101562e-01,-1.079272944480180740e-02,-5.238599143922328949e-03,1.880086399614810944e-02,-2.961728572845458984e+00,-1.990605831146240234e+00,2.272641181945800781e+00,-6.054458022117614746e-02,-3.734930753707885742e-01,7.568785548210144043e-02,-1.666104071773588657e-05,3.471137097221799195e-05,-4.374372586607933044e-02,-2.109355772393780269e-15,3.552761112645547170e-15,3.052273431612418644e-16,7.440479844808578491e-02,-4.414594545960426331e-02,1.248592138290405273e-01,1.079272944480180740e-02,5.238599143922328949e-03,-1.880086399614810944e-02,2.961711883544921875e+00,1.990640521049499512e+00,-2.316384792327880859e+00,6.054458022117614746e-02,3.734930753707885742e-01,-7.568785548210144043e-02
1.636817069083917886e-05,-1.724736989672237542e-06,-3.740049153566360474e-02,-2.109435817007295801e-15,3.552705420229265200e-15,3.053231372936204054e-16,-7.428952306509017944e-02,4.404826462268829346e-02,-1.686017215251922607e-01,-1.077976357191801071e-02,-5.225662607699632645e-03,1.880251616239547729e-02,-2.961690187454223633e+00,-1.990637540817260742e+00,2.272580146789550781e+00,-6.054013967514038086e-02,-3.734865784645080566e-01,7.569108903408050537e-02,1.636817069083917886e-05,-1.724736989672237542e-06,-3.740049153566360474e-02,-2.109435817007295801e-15,3.552705420229265200e-15,3.053231372936204054e-16,7.430589199066162109e-02,-4.404998943209648132e-02,1.312012374401092529e-01,1.077976357191801071e-02,5.225662607699632645e-03,-1.880251616239547729e-02,2.961706638336181641e+00,1.990635871887207031e+00,-2.309980630874633789e+00,6.054013967514038086e-02,3.734865784645080566e-01,-7.569108903408050537e-02
-1.850258740887511522e-06,-2.289598199922693311e-08,-5.950650200247764587e-02,-2.109393253601696272e-15,3.552730619459446015e-15,3.053231372936204054e-16,-7.428947836160659790e-02,4.404830187559127808e-02,-1.686029434204101562e-01,-1.077975798398256302e-02,-5.225665401667356491e-03,1.880251616239547729e-02,-2.961680889129638672e+00,-1.990628480911254883e+00,2.272524833679199219e+00,-6.054180860519409180e-02,-3.734866082668304443e-01,7.569292187690734863e-02,-1.850258740887511522e-06,-2.289598199922693311e-08,-5.950650200247764587e-02,-2.109393253601696272e-15,3.552730619459446015e-15,3.053231372936204054e-16,7.428763061761856079e-02,-4.404832422733306885e-02,1.090964376926422119e-01,1.077975798398256302e-02,5.225665401667356491e-03,-1.880251616239547729e-02,2.961678981781005859e+00,1.990628480911254883e+00,-2.332031250000000000e+00,6.054180860519409180e-02,3.734866082668304443e-01,-7.569292187690734863e-02
